Date,Week,Exposed,Dung_160ml,FoodType,ID,Snail_No,Length,Eggs,Worms,C_Eggs,C_Worms,Infected,Alive,Dead,Last_Alive,Notes
0ct-11-2024,0,No,0,High,O1,127,11.7,0,0,0,0,0,1,0,0,NA
0ct-18-2024,1,No,0,High,O1,127,12.6,0,0,0,0,0,1,0,0,NA
0ct-25-2024,2,No,0,High,O1,127,12.7,0,0,0,0,0,1,0,0,NA
Nov-01-2024,3,No,0,High,O1,127,13.1,0,0,0,0,0,1,0,0,NA
Nov-08-2024,4,No,0,High,O1,127,13.9,0,0,0,0,0,1,0,0,NA
Nov-15-2024,5,No,0,High,O1,127,14.4,0,0,0,0,0,1,0,0,NA
Nov-22-2024,6,No,0,High,O1,127,14.8,24,0,24,0,0,1,0,0,NA
Nov-29-2024,7,No,0,High,O1,127,15.4,32,0,56,0,0,1,0,0,NA
Dec-06-2024,8,No,0,High,O1,127,15.4,19,0,75,0,0,1,0,0,NA
Dec-13-2024,9,No,0,High,O1,127,15.5,86,0,161,0,0,1,0,0,NA
Dec-20-2024,10,No,0,High,O1,127,16.1,45,0,206,0,0,1,0,0,NA
Dec-27-2024,11,No,0,High,O1,127,15.8,39,0,245,0,0,1,0,0,NA
Jan-03-2025,12,No,0,High,O1,127,16.7,114,0,359,0,0,1,0,0,NA
Jan-10-2025,13,No,0,High,O1,127,16.9,103,0,462,0,0,1,0,0,NA
Jan-17-2025,14,No,0,High,O1,127,17,193,0,655,0,0,1,0,0,NA
Jan-25-2025,15,No,0,High,O1,127,16.7,120,0,775,0,0,1,0,0,NA
Jan-31-2025,16,No,0,High,O1,127,17.6,170,0,945,0,0,1,0,1,NA
0ct-11-2024,0,No,0,High,P1,128,11.1,0,0,0,0,0,1,0,0,NA
0ct-18-2024,1,No,0,High,P1,128,11.9,0,0,0,0,0,1,0,0,NA
0ct-25-2024,2,No,0,High,P1,128,12.6,0,0,0,0,0,1,0,0,NA
Nov-01-2024,3,No,0,High,P1,128,12.1,0,0,0,0,0,1,0,0,NA
Nov-08-2024,4,No,0,High,P1,128,14,0,0,0,0,0,1,0,0,NA
Nov-15-2024,5,No,0,High,P1,128,14.7,0,0,0,0,0,1,0,0,NA
Nov-22-2024,6,No,0,High,P1,128,15.3,0,0,0,0,0,1,0,0,NA
Nov-29-2024,7,No,0,High,P1,128,15.6,0,0,0,0,0,1,0,0,NA
Dec-06-2024,8,No,0,High,P1,128,16,97,0,97,0,0,1,0,0,NA
Dec-13-2024,9,No,0,High,P1,128,16.1,0,0,97,0,0,1,0,0,NA
Dec-20-2024,10,No,0,High,P1,128,16.1,0,0,97,0,0,1,0,0,NA
Dec-27-2024,11,No,0,High,P1,128,16.4,24,0,121,0,0,1,0,0,NA
Jan-03-2025,12,No,0,High,P1,128,16.7,64,0,185,0,0,1,0,0,NA
Jan-10-2025,13,No,0,High,P1,128,16.5,218,0,403,0,0,1,0,0,NA
Jan-17-2025,14,No,0,High,P1,128,16.8,244,0,647,0,0,1,0,0,NA
Jan-25-2025,15,No,0,High,P1,128,17.1,53,0,700,0,0,1,0,0,NA
Jan-31-2025,16,No,0,High,P1,128,16.9,52,0,752,0,0,1,0,1,NA
0ct-11-2024,0,No,0,High,Q1,129,11.7,0,0,0,0,0,1,0,0,NA
0ct-18-2024,1,No,0,High,Q1,129,12.2,0,0,0,0,0,1,0,0,NA
0ct-25-2024,2,No,0,High,Q1,129,13,0,0,0,0,0,1,0,0,NA
Nov-01-2024,3,No,0,High,Q1,129,12.9,16,0,16,0,0,1,0,0,NA
Nov-08-2024,4,No,0,High,Q1,129,14.3,0,0,16,0,0,1,0,0,NA
Nov-15-2024,5,No,0,High,Q1,129,14.2,0,0,16,0,0,1,0,0,NA
Nov-22-2024,6,No,0,High,Q1,129,14.3,81,0,97,0,0,1,0,0,NA
Nov-29-2024,7,No,0,High,Q1,129,13.5,194,0,291,0,0,1,0,0,NA
Dec-06-2024,8,No,0,High,Q1,129,14,166,0,457,0,0,1,0,0,NA
Dec-13-2024,9,No,0,High,Q1,129,14.1,73,0,530,0,0,1,0,0,NA
Dec-20-2024,10,No,0,High,Q1,129,14.1,67,0,597,0,0,1,0,0,NA
Dec-27-2024,11,No,0,High,Q1,129,14.1,35,0,632,0,0,1,0,0,NA
Jan-03-2025,12,No,0,High,Q1,129,14.4,31,0,663,0,0,1,0,0,NA
Jan-10-2025,13,No,0,High,Q1,129,14.2,14,0,677,0,0,1,0,0,NA
Jan-17-2025,14,No,0,High,Q1,129,14.5,14,0,691,0,0,1,0,0,NA
Jan-25-2025,15,No,0,High,Q1,129,14.5,0,0,691,0,0,1,0,0,NA
Jan-31-2025,16,No,0,High,Q1,129,14.6,18,0,709,0,0,1,0,1,NA
0ct-11-2024,0,No,0,High,R1,130,13.4,0,0,0,0,0,1,0,0,NA
0ct-18-2024,1,No,0,High,R1,130,13.6,0,0,0,0,0,1,0,0,NA
0ct-25-2024,2,No,0,High,R1,130,14,38,0,38,0,0,1,0,0,NA
Nov-01-2024,3,No,0,High,R1,130,12.3,14,0,52,0,0,1,0,0,NA
Nov-08-2024,4,No,0,High,R1,130,13.5,64,0,116,0,0,1,0,0,NA
Nov-15-2024,5,No,0,High,R1,130,14.5,47,0,163,0,0,1,0,0,NA
Nov-22-2024,6,No,0,High,R1,130,14.6,108,0,271,0,0,1,0,0,NA
Nov-29-2024,7,No,0,High,R1,130,14.5,85,0,356,0,0,1,0,0,NA
Dec-06-2024,8,No,0,High,R1,130,14.6,164,0,520,0,0,1,0,0,NA
Dec-13-2024,9,No,0,High,R1,130,14.8,153,0,673,0,0,1,0,0,NA
Dec-20-2024,10,No,0,High,R1,130,14.7,55,0,728,0,0,1,0,0,NA
Dec-27-2024,11,No,0,High,R1,130,15.6,44,0,772,0,0,1,0,0,NA
Jan-03-2025,12,No,0,High,R1,130,16,103,0,875,0,0,1,0,0,NA
Jan-10-2025,13,No,0,High,R1,130,15.9,106,0,981,0,0,1,0,0,NA
Jan-17-2025,14,No,0,High,R1,130,16.1,122,0,1103,0,0,1,0,0,NA
Jan-25-2025,15,No,0,High,R1,130,16.3,67,0,1170,0,0,1,0,0,NA
Jan-31-2025,16,No,0,High,R1,130,16.5,110,0,1280,0,0,1,0,1,NA
